Survived,Pclass,Age,Fare,family_cnt,Sex,Cabin_ind
1,1,4,81.8583,2,0,1
1,2,13,19.5,1,1,0
1,1,34,26.55,0,0,0
1,3,5,19.2583,3,1,0
1,1,52,30.5,0,0,1
0,2,36,27.75,3,0,0
0,3,29.69911765,19.9667,1,0,0
0,1,30,27.75,0,0,1
1,1,49,89.1042,1,0,1
0,3,29.69911765,8.05,0,0,0
1,3,29,7.8958,0,0,0
0,1,65,26.55,0,0,1
1,1,29.69911765,51.8625,1,1,1
1,2,50,10.5,0,1,0
0,3,29.69911765,7.75,0,0,0
1,1,48,26.55,0,0,1
0,3,34,8.05,0,0,0
0,1,47,38.5,0,0,1
0,2,48,13,0,0,0
0,3,29.69911765,8.05,0,0,0
0,3,38,7.05,0,0,0
0,2,29.69911765,0,0,0,0
0,1,56,26.55,0,0,0
0,3,29.69911765,7.725,0,0,0
1,3,0.75,19.2583,3,1,0
0,3,29.69911765,7.25,0,0,0
0,3,38,8.6625,0,0,0
1,2,33,27.75,3,1,0
1,2,23,13.7917,0,1,1
0,3,22,9.8375,0,1,0
0,1,29.69911765,52,0,0,1
0,2,34,21,1,0,0
0,3,29,7.0458,1,0,0
0,3,22,7.5208,0,0,0
1,3,2,12.2875,1,1,0
0,3,9,46.9,7,0,0
0,2,29.69911765,0,0,0,0
0,3,50,8.05,0,0,0
1,3,63,9.5875,0,1,0
1,1,25,91.0792,1,0,1
0,3,29.69911765,25.4667,4,1,0
1,1,35,90,1,1,1
0,1,58,29.7,0,0,1
0,3,30,8.05,0,0,0
1,3,9,15.9,2,0,0
0,3,29.69911765,19.9667,1,0,0
0,3,21,7.25,0,0,0
0,1,55,30.5,0,0,1
0,1,71,49.5042,0,0,0
0,3,21,8.05,0,0,0
0,3,29.69911765,14.4583,0,0,0
1,1,54,78.2667,1,1,1
0,3,29.69911765,15.1,0,0,0
0,1,25,151.55,3,1,1
0,3,24,7.7958,0,0,0
0,3,17,8.6625,0,0,0
0,3,21,7.75,0,1,0
0,3,29.69911765,7.6292,0,1,0
0,3,37,9.5875,0,1,0
1,1,16,86.5,0,1,1
0,1,18,108.9,1,0,1
1,2,33,26,2,1,0
1,1,29.69911765,26.55,0,0,0
0,3,28,22.525,0,0,0
1,3,26,56.4958,0,0,0
1,3,29,7.75,0,0,0
0,3,29.69911765,8.05,0,0,0
1,1,36,26.2875,0,0,1
1,1,54,59.4,1,1,0
0,3,24,7.4958,0,0,0
0,1,47,34.0208,0,0,1
1,2,34,10.5,0,1,1
0,3,29.69911765,24.15,0,0,0
1,2,36,26,1,1,0
0,3,32,7.8958,0,0,0
1,1,30,93.5,0,1,1
0,3,22,7.8958,0,0,0
0,3,29.69911765,7.225,0,0,0
1,1,44,57.9792,1,1,1
0,3,29.69911765,7.2292,0,0,0
0,3,40.5,7.75,0,0,0
1,2,50,10.5,0,1,0
0,1,29.69911765,221.7792,0,0,1
0,3,39,7.925,0,0,0
0,2,23,11.5,3,0,0
1,2,2,26,2,1,0
0,3,29.69911765,7.2292,0,0,0
0,3,17,7.2292,2,0,0
1,3,29.69911765,22.3583,2,1,0
0,3,30,8.6625,0,1,0
1,2,7,26.25,2,1,0
0,1,45,26.55,0,0,1
1,1,30,106.425,0,1,0
0,3,29.69911765,14.5,0,0,0
1,1,22,49.5,2,1,1
1,1,36,71,2,1,1
0,3,9,31.275,6,1,0
0,3,11,31.275,6,1,0
1,2,32,26,1,0,0
0,1,50,106.425,1,0,1
0,1,64,26,0,0,0
1,2,19,26,1,1,0
1,2,29.69911765,13.8625,0,0,0
0,3,33,20.525,2,0,0
1,2,8,36.75,2,0,0
1,1,17,110.8833,2,0,1
0,2,27,26,0,0,0
0,3,29.69911765,7.8292,0,0,0
1,3,22,7.225,0,0,0
1,3,22,7.775,0,1,0
0,1,62,26.55,0,0,0
1,1,48,39.6,1,1,1
0,1,29.69911765,227.525,0,0,0
1,1,39,79.65,2,1,1
1,3,36,17.4,1,1,0
0,3,29.69911765,7.75,0,0,0
0,3,40,7.8958,0,0,0
0,2,28,13.5,0,0,0
0,3,29.69911765,8.05,0,0,0
0,3,29.69911765,8.05,0,1,0
0,3,24,24.15,2,0,0
0,3,19,7.8958,0,0,0
0,3,29,21.075,4,1,0
0,3,29.69911765,7.2292,0,0,0
1,3,32,7.8542,0,0,0
1,2,62,10.5,0,0,0
1,1,53,51.4792,2,1,1
1,1,36,26.3875,0,0,1
1,3,29.69911765,7.75,0,1,0
0,3,16,8.05,0,0,0
0,3,19,14.5,0,0,0
1,2,34,13,0,1,0
1,1,39,55.9,1,1,1
0,3,29.69911765,14.4583,1,1,0
1,3,32,7.925,0,0,0
1,2,25,30,2,1,0
1,1,39,110.8833,2,1,1
0,2,54,26,0,0,0
0,1,36,40.125,0,0,1
0,3,29.69911765,8.7125,0,0,0
1,1,18,79.65,2,1,1
0,2,47,15,0,0,0
1,1,60,79.2,2,0,1
0,3,22,8.05,0,0,0
0,3,29.69911765,8.05,0,0,0
0,3,35,7.125,0,0,0
1,1,52,78.2667,1,1,1
0,3,47,7.25,0,0,0
0,3,29.69911765,7.75,2,1,0
0,2,37,26,1,0,0
0,3,36,24.15,2,0,0
1,2,29.69911765,33,0,1,0
0,3,49,0,0,0,0
0,3,29.69911765,7.225,0,0,0
1,1,49,56.9292,1,0,1
1,2,24,27,3,1,0
0,3,29.69911765,7.8958,0,0,0
0,1,29.69911765,42.4,0,0,0
0,3,44,8.05,0,0,0
1,1,35,26.55,0,0,0
0,3,36,15.55,1,0,0
0,3,30,7.8958,0,0,0
1,1,27,30.5,0,0,0
1,2,22,41.5792,3,1,0
1,1,40,153.4625,0,1,1
0,3,39,31.275,6,1,0
0,3,29.69911765,7.05,0,0,0
1,3,29.69911765,15.5,1,1,0
0,3,29.69911765,7.75,0,0,0
0,3,35,8.05,0,0,0
1,2,24,65,3,1,0
0,3,34,14.4,2,0,0
0,3,26,16.1,1,1,0
1,2,4,39,3,1,1
0,2,26,10.5,0,0,0
0,3,27,14.4542,1,0,0
1,1,42,52.5542,1,0,1
1,3,20,15.7417,2,0,0
0,3,21,7.8542,0,0,0
0,3,21,16.1,0,0,0
0,1,61,32.3208,0,0,1
0,2,57,12.35,0,0,0
1,1,21,77.9583,0,1,1
0,3,26,7.8958,0,0,0
0,3,29.69911765,7.7333,0,0,0
1,1,80,30,0,0,1
0,3,51,7.0542,0,0,0
1,1,32,30.5,0,0,1
0,1,29.69911765,0,0,0,0
0,3,9,27.9,5,1,0
1,2,28,13,0,1,0
0,3,32,7.925,0,0,0
0,2,31,26.25,2,0,0
0,3,41,39.6875,5,1,0
0,3,29.69911765,16.1,1,0,0
0,3,20,7.8542,0,0,0
1,1,24,69.3,0,1,1
0,3,2,27.9,5,1,0
1,3,29.69911765,56.4958,0,0,0
1,3,0.75,19.2583,3,1,0
1,1,48,76.7292,1,0,1
0,3,19,7.8958,0,0,0
1,1,56,35.5,0,0,1
0,3,29.69911765,7.55,0,0,0
1,3,23,7.55,0,1,0
0,3,29.69911765,7.8958,0,0,0
1,2,18,23,1,1,0
0,3,21,8.4333,0,0,0
1,3,29.69911765,7.8292,0,1,0
0,3,18,6.75,0,1,0
0,2,24,73.5,2,0,0
0,3,29.69911765,7.8958,0,0,0
0,3,32,15.5,2,1,0
0,2,23,13,0,0,0
0,1,58,113.275,2,0,1
1,1,50,133.65,2,0,0
0,3,40,7.225,0,0,0
0,1,47,25.5875,0,0,1
0,3,36,7.4958,0,0,0
1,3,20,7.925,1,0,0
0,2,32,73.5,2,0,0
0,2,25,13,0,0,0
0,3,29.69911765,7.775,0,0,0
0,3,43,8.05,0,0,0
1,1,29.69911765,52,1,1,1
1,2,40,39,2,1,0
0,1,31,52,1,0,1
0,2,70,10.5,0,0,0
1,2,31,13,0,0,0
0,2,29.69911765,0,0,0,0
0,3,18,7.775,0,0,0
0,3,24.5,8.05,0,0,0
1,3,18,9.8417,0,1,0
0,3,43,46.9,7,1,0
1,1,36,512.3292,1,0,1
0,3,29.69911765,8.1375,0,1,0
1,1,27,76.7292,0,0,1
0,3,20,9.225,0,0,0
0,3,14,46.9,7,0,0
0,2,60,39,2,0,0
0,2,25,41.5792,3,0,0
0,3,14,39.6875,5,0,0
0,3,19,10.1708,0,0,0
0,3,18,7.7958,0,0,0
1,1,15,211.3375,1,1,1
1,1,31,57,1,0,1
1,3,4,13.4167,1,1,0
1,3,29.69911765,56.4958,0,0,0
0,3,25,7.225,0,0,0
0,1,60,26.55,0,0,0
0,2,52,13.5,0,0,0
0,3,44,8.05,0,0,0
1,3,29.69911765,7.7333,0,1,0
0,1,49,110.8833,2,0,1
0,3,42,7.65,0,0,1
1,1,18,227.525,1,1,1
1,1,35,26.2875,0,0,1
0,3,18,14.4542,1,1,0
0,3,25,7.7417,0,0,0
0,3,26,7.8542,1,0,0
0,2,39,26,0,0,0
1,2,45,13.5,0,1,0
1,1,42,26.2875,0,0,1
1,1,22,151.55,0,1,0
1,3,29.69911765,15.2458,2,0,0
1,1,24,49.5042,0,1,1
0,1,29.69911765,26.55,0,0,1
1,1,48,52,1,0,1
0,3,29,9.4833,0,0,0
0,2,52,13,0,0,0
0,3,19,7.65,0,0,1
1,1,38,227.525,0,1,1
1,2,27,10.5,0,1,1
0,3,29.69911765,15.5,0,0,0
0,3,33,7.775,0,0,0
1,2,6,33,1,1,0
0,3,17,7.0542,1,0,0
0,2,34,13,0,0,0
0,2,50,13,0,0,0
1,1,27,53.1,1,0,1
0,3,20,8.6625,0,0,0
1,2,30,21,3,1,0
1,3,29.69911765,7.7375,0,1,0
0,2,25,26,1,0,0
0,3,25,7.925,1,1,0
1,1,29,211.3375,0,1,1
0,3,11,18.7875,0,0,0
0,2,29.69911765,0,0,0,0
0,2,23,13,0,0,0
0,2,23,13,0,0,0
0,3,28.5,16.1,0,0,0
0,3,48,34.375,4,1,0
1,1,35,512.3292,0,0,1
0,3,29.69911765,7.8958,0,0,0
0,3,29.69911765,7.8958,0,0,0
1,1,29.69911765,30,0,0,1
0,1,36,78.85,1,0,1
1,1,21,262.375,4,1,1
0,3,24,16.1,1,0,0
1,3,31,7.925,0,0,0
0,1,70,71,2,0,1
0,3,16,20.25,2,0,0
1,2,30,13,0,1,0
0,1,19,53.1,1,0,1
0,3,31,7.75,0,0,0
1,2,4,23,2,1,0
1,3,6,12.475,1,0,1
0,3,33,9.5,0,0,0
0,3,23,7.8958,0,0,0
1,2,48,65,3,1,0
1,2,0.67,14.5,2,0,0
0,3,28,7.7958,0,0,0
0,2,18,11.5,0,0,0
0,3,34,8.05,0,0,0
1,1,33,86.5,0,1,1
0,3,29.69911765,14.5,0,0,0
0,3,41,7.125,0,0,0
1,3,20,7.2292,0,0,0
1,1,36,120,3,1,1
0,3,16,7.775,0,0,0
1,1,51,77.9583,1,1,1
0,1,29.69911765,39.6,0,0,0
0,3,30.5,7.75,0,1,0
0,3,29.69911765,24.15,1,0,0
0,3,32,8.3625,0,0,0
0,3,24,9.5,0,0,0
0,3,48,7.8542,0,0,0
0,2,57,10.5,0,1,1
0,3,29.69911765,7.225,0,0,0
1,2,54,23,4,1,0
0,3,18,7.75,0,0,0
0,3,29.69911765,7.75,0,0,1
1,3,5,12.475,0,1,0
0,3,29.69911765,7.7375,0,0,0
1,1,43,211.3375,1,1,1
1,3,13,7.2292,0,1,0
1,1,17,57,1,1,1
0,1,29,30,0,0,1
0,3,29.69911765,23.45,3,0,0
0,3,25,7.05,0,0,0
0,3,25,7.25,0,0,0
1,3,18,7.4958,0,1,0
0,3,8,29.125,5,0,0
1,3,1,20.575,3,0,0
0,1,46,79.2,0,0,1
0,3,29.69911765,7.75,0,0,0
0,2,16,26,0,0,0
0,3,29.69911765,69.55,10,1,0
0,1,29.69911765,30.6958,0,0,0
0,3,25,7.8958,0,0,0
0,2,39,13,0,0,0
1,1,49,25.9292,0,1,1
1,3,31,8.6833,0,1,0
0,3,30,7.2292,0,0,0
0,3,30,24.15,2,1,0
0,2,34,13,0,0,0
1,2,31,26.25,2,1,0
1,1,11,120,3,0,1
1,3,0.42,8.5167,1,0,0
1,3,27,6.975,0,0,0
0,3,31,7.775,0,0,0
0,1,39,0,0,0,1
0,3,18,7.775,0,1,0
0,2,39,13,0,0,0
1,1,33,53.1,1,1,1
0,3,26,7.8875,0,0,0
0,3,39,24.15,0,0,0
0,2,35,10.5,0,0,0
0,3,6,31.275,6,1,0
0,3,30.5,8.05,0,0,0
0,1,29.69911765,0,0,0,1
0,3,23,7.925,0,1,0
0,2,31,37.0042,2,0,0
0,3,43,6.45,0,0,0
0,3,10,27.9,5,0,0
1,1,52,93.5,2,1,1
1,3,27,8.6625,0,0,0
0,1,38,0,0,0,0
1,3,27,12.475,1,1,1
0,3,2,39.6875,5,0,0
0,3,29.69911765,6.95,0,0,0
0,3,29.69911765,56.4958,0,0,0
1,2,1,37.0042,2,0,0
1,3,29.69911765,7.75,0,0,0
1,1,62,80,0,1,1
1,3,15,14.4542,1,1,0
1,2,0.83,18.75,2,0,0
0,3,29.69911765,7.2292,0,0,0
0,3,23,7.8542,0,0,0
0,3,18,8.3,0,0,0
1,1,39,83.1583,2,1,1
0,3,21,8.6625,0,0,0
0,3,29.69911765,8.05,0,0,0
1,3,32,56.4958,0,0,0
1,1,29.69911765,29.7,0,0,1
0,3,20,7.925,0,0,0
0,2,16,10.5,0,0,0
1,1,30,31,0,1,0
0,3,34.5,6.4375,0,0,0
0,3,17,8.6625,0,0,0
0,3,42,7.55,0,0,0
0,3,29.69911765,69.55,10,0,0
0,3,35,7.8958,0,0,0
0,2,28,33,1,0,0
1,1,29.69911765,89.1042,1,1,1
0,3,4,31.275,6,0,0
0,3,74,7.775,0,0,0
0,3,9,15.2458,2,1,0
1,1,16,39.4,1,1,1
0,2,44,26,1,1,0
1,3,18,9.35,1,1,0
1,1,45,164.8667,2,1,0
1,1,51,26.55,0,0,1
1,3,24,19.2583,3,1,0
0,3,29.69911765,7.2292,0,0,0
0,3,41,14.1083,2,0,0
0,2,21,11.5,1,0,0
1,1,48,25.9292,0,1,1
0,3,29.69911765,69.55,10,1,0
0,2,24,13,0,0,0
1,2,42,13,0,1,0
1,2,27,13.8583,1,1,0
0,1,31,50.4958,0,0,1
0,3,29.69911765,9.5,0,0,0
1,3,4,11.1333,2,0,0
0,3,26,7.8958,0,0,0
1,1,47,52.5542,2,1,1
0,1,33,5,0,0,1
0,3,47,9,0,0,0
1,2,28,24,1,1,0
1,3,15,7.225,0,1,0
0,3,20,9.8458,0,0,0
0,3,19,7.8958,0,0,0
0,3,29.69911765,7.8958,0,0,0
1,1,56,83.1583,1,1,1
1,2,25,26,1,1,0
0,3,33,7.8958,0,0,0
0,3,22,10.5167,0,1,0
0,2,28,10.5,0,0,0
0,3,25,7.05,0,0,0
0,3,39,29.125,5,1,0
0,2,27,13,0,0,0
1,1,19,30,0,1,1
0,3,29.69911765,23.45,3,1,0
1,1,26,30,0,0,1
0,3,32,7.75,0,0,0
